title,director,plot,box_office,imdbrating,released
Casino (1995),Martin Scorsese,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.","$42,512,375",8.2,22 Nov 1995
Sense and Sensibility (1995),Ang Lee,"In Georgian era England, wealthy Mr. Dashwood dies leaving his second wife and three daughters destitute. The ladies move to a modest cottage where the two older daughters vie for the attention of various suitors in search of true...","$43,182,776",7.7,26 Jan 1996
Four Rooms (1995),"Allison Anders, Alexandre Rockwell, Robert Rodriguez",Four interlocking tales that take place in a fading hotel on New Year's Eve.,"$4,257,354",6.7,25 Dec 1995
Ace Ventura: When Nature Calls (1995),Steve Oedekerk,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.","$108,385,533",6.4,10 Nov 1995
Money Train (1995),Joseph Ruben,"A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him.","$35,431,113",5.7,22 Nov 1995
Get Shorty (1995),Barry Sonnenfeld,A mobster travels from Florida to Hollywood to collect a debt and discovers that the movie business is just as sleazy as the Miami underworld.,"$72,101,622",6.9,20 Oct 1995
Copycat (1995),Jon Amiel,A criminal psychologist who turned agoraphobic after a murder attempt agrees to help two San Francisco detectives hunt for a copycat serial killer who intends on making her his next victim.,"$32,051,917",6.6,27 Oct 1995
Assassins (1995),Richard Donner,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,"$30,303,072",6.3,06 Oct 1995
Powder (1995),Victor Salva,An off-the-charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.,"$30,862,156",6.6,27 Oct 1995
Leaving Las Vegas (1995),Mike Figgis,"Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","$32,029,928",7.5,09 Feb 1996
Othello (1995),Oliver Parker,"The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the scheme of a bitter Ensign named Iago.","$2,844,379",6.8,19 Jan 1996
Now and Then (1995),Lesli Linka Glatter,Four childhood friends gather together to prepare for the birth of Chrissey's baby. They wonder how the girls they were at twelve years could possibly have become the women they are now.,"$27,112,329",6.8,20 Oct 1995
Persuasion (1995),Roger Michell,"Theatrical film of ""Persuasion"" with Ciaran Hinds and Amanda Root. Directed by Roger Michell.","$5,269,757",7.7,06 Apr 1997
"City of Lost Children, The (1995)",,,,,
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),,,,,
Dangerous Minds (1995),John N. Smith,"LouAnne, a retired US marine, becomes a teacher in a Californian high school. But her mostly Latino and black students from an impoverished and racially segregated locality do not easily embrace her.","$84,919,401",6.5,11 Aug 1995
Twelve Monkeys (1995),,,,,
Wings of Courage (1995),Jean-Jacques Annaud,"While flying mail across the Andean mountains, Henri Guillaumet's plane has to crash-land, he must trek back to civilizatin on foot.","$15,054,636",6.4,18 Sep 1996
Babe (1995),Chris Noonan,"Gentle farmer Arthur Hoggett wins a piglet Babe at a county fair. Narrowly escaping his fate as Christmas dinner, Babe bonds with motherly border collie Fly and discovers that he too can herd sheep. But will the other animals acce...","$63,658,910",6.9,04 Aug 1995
Carrington (1995),Christopher Hampton,The platonic relationship between artist Dora Carrington and writer Lytton Strachey in the early twentieth century.,"$3,242,342",6.8,10 Nov 1995
Dead Man Walking (1995),Tim Robbins,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.","$39,363,635",7.5,02 Feb 1996
Across the Sea of Time (1995),Stephen Low,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is sear...","$16,015,639",6.4,20 Oct 1995
It Takes Two (1995),Andy Tennant,"Alyssa and Amanda are two little girls who are identical, but complete strangers, that accidentally meet one day.","$19,474,589",6.0,17 Nov 1995
Clueless (1995),Amy Heckerling,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.","$56,631,572",6.9,19 Jul 1995
"Cry, the Beloved Country (1995)",Darrell Roodt,"A South African preacher goes to search for his wayward son, who has committed a crime in the big city.","$670,727",6.8,15 Dec 1995
Richard III (1995),Richard Loncraine,The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.,"$2,684,904",7.3,29 Dec 1995
Dead Presidents (1995),"Albert Hughes, Allen Hughes","A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.","$24,147,179",6.9,06 Oct 1995
Restoration (1995),Michael Hoffman,"The exiled royal doctor to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.","$4,005,941",6.6,02 Feb 1996
Mortal Kombat (1995),Paul W.S. Anderson,Three martial artists are forced to battle demonic adversaries in another dimension with the fate of the world hanging in the balance.,"$70,454,098",5.8,18 Aug 1995
To Die For (1995),Gus Van Sant,A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.,"$21,284,514",6.8,06 Oct 1995
How to Make an American Quilt (1995),Jocelyn Moorhouse,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.,"$23,600,020",6.3,06 Oct 1995
Seven (Se7en) (1995),,,,,
Pocahontas (1995),"Mike Gabriel, Eric Goldberg",An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,"$141,579,773",6.7,23 Jun 1995
When Night Is Falling (1995),Patricia Rozema,"An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.","$919,671",6.5,17 Nov 1995
"Usual Suspects, The (1995)",,,,,
Guardian Angel (1994),Richard W. Munchkin,"A wealthy playboy hires an attractive woman detective, turned bodyguard, to protect him from a psychotic seductress; the same woman who killed the detective's lover just months before.","$252,009",5.0,22 Nov 1994
Mighty Aphrodite (1995),Woody Allen,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.","$6,468,498",7.0,10 Nov 1995
Lamerica (1994),Gianni Amelio,"Immediately after the fall of communism in Albania, two Italians go there to embezzle investment money by creating a fake company. As the chairman/fall guy, they pick a former political prisoner who turns out to be more than meets...","$438,483",7.4,04 Oct 1995
"Big Green, The (1995)",,,,,
Georgia (1995),Ulu Grosbard,Sadie is desperately looking up to her older sister Georgia who is a famous C&amp;W artist. Her desperate need to be accepted by her sister is constantly complicated by her drug and alcohol problems.,"$1,110,104",6.5,08 Dec 1995
Kids of the Round Table (1995),Robert Tinnell,"Eleven-year-old Alex and his fellow homemade heroes are having a backyard blast. Battles rage, knights fight and damsels distress in a cardboard Camelot of dirt-bike steeds, aluminum foil sabres and plastic armor. The summer fun a...",N/A,5.1,15 Dec 1995
Home for the Holidays (1995),Jodie Foster,"After being fired, making out with her soon-to-be ex-boss, and discovering that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces the unenviable task of spending the holiday with her exceedingly dul...","$17,519,169",6.6,03 Nov 1995
"Postino, Il (The Postman) (1994)",,,,,
"Confessional, The (Le Confessionnal) (1995)",,,,,
"Indian in the Cupboard, The (1995)",,,,,
Eye for an Eye (1996),John Schlesinger,"When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.","$26,877,589",6.2,12 Jan 1996
Mr. Holland's Opus (1995),Stephen Herek,A frustrated composer finds fulfillment as a high school music teacher.,"$82,569,971",7.3,19 Jan 1996
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Paris Barclay,"A parody of several U.S. films about being in the ""'hood"", for instance Boyz n the Hood (1991), South Central (1992), Menace II Society (1993), Higher Learning (1995), and Juice (1992).","$20,109,115",6.5,12 Jan 1996
Two if by Sea (1996),Bill Bennett,"A couple steals a Matisse painting on contract and manage to evade the police. The sale takes place four days later on an island, but things don't go as planned.","$10,658,278",5.3,12 Jan 1996
Bio-Dome (1996),Jason Bloom,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.","$13,427,615",4.4,12 Jan 1996
Lawnmower Man 2: Beyond Cyberspace (1996),N/A,N/A,N/A,N/A,15 Jul 2019
Two Bits (1995),James Foley,"Gennaro lives with his ailing grandpa, who sits outside holding tight to his last quarter. But grandpa's not ready to die, he has some unfinished business with a woman from his past and he enlists Gennaro to act as his emissary.","$26,282",6.1,22 Nov 1995
French Twist (Gazon maudit) (1995),,,,,
Friday (1995),F. Gary Gray,"It's Friday, and Craig and Smokey must come up with $200 they owe a local bully or there won't be a Saturday.","$27,467,564",7.2,26 Apr 1995
From Dusk Till Dawn (1996),Robert Rodriguez,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.","$25,836,616",7.2,19 Jan 1996
Fair Game (1995),Andrew Sipes,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her.","$11,534,477",4.4,03 Nov 1995
Kicking and Screaming (1995),Noah Baumbach,"A bunch of guys hang around their college for months after graduation, continuing a life much like the one before graduation.","$718,490",6.6,06 Oct 1995
"Misérables, Les (1995)",,,,,
Bed of Roses (1996),Michael Goldenberg,Romantic drama about a young career girl who is swept off her feet by a shy florist who fell in love with her after one glimpse through a shadowy window.,"$19,030,691",6.1,26 Jan 1996
Big Bully (1996),Steve Miner,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.","$2,042,530",4.8,26 Jan 1996
Screamers (1995),Christian Duguay,"A military commander stationed off planet during an interplanetary war travels through the devastated landscape to negotiate a peace treaty, but discovers that the primitive robots they built to kill enemy combatants have gained s...","$5,711,695",6.3,26 Jan 1996
Nico Icon (1995),Susanne Ofteringer,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same ...","$306,691",7.2,16 Nov 1995
"Crossing Guard, The (1995)",,,,,
"Juror, The (1996)",,,,,
"White Balloon, The (Badkonake Sefid ) (1995)",,,,,
Things to Do in Denver when You're Dead (1995),Gary Fleder,Five different criminals face imminent death after botching a job quite badly.,"$529,766",6.7,01 Dec 1995
Antonia's Line (Antonia) (1995),,,,,
Once Upon a Time... When We Were Colored (1995),Tim Reid,A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.,"$2,291,255",7.4,26 Jan 1996
Last Summer in the Hamptons (1995),Henry Jaglom,"This moving story was the swan song of actress Viveca Lindfors, who died unexpectedly soon after completing it. It's a fitting tribute, as the film explores the last performance in the ancestral home of a large family of actors.","$801,984",5.8,15 Sep 1996
Angels and Insects (1995),Philip Haas,In the 1800s a naturalist marries into a family of British country gentry.,"$3,414,301",6.8,26 Jan 1996
White Squall (1996),Ridley Scott,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,"$10,292,300",6.6,02 Feb 1996
Dunston Checks In (1996),Ken Kwapis,A young boy befriends a larcenous orangutan in a luxury hotel.,"$9,871,065",5.4,12 Jan 1996
Black Sheep (1996),Penelope Spheeris,A gubernatorial candidate hires a wormy special assistant whose only job is to make sure the candidate's well-meaning but incompetent brother doesn't ruin the election.,"$32,417,995",6.2,02 Feb 1996
Nick of Time (1995),John Badham,"An unimpressive, everyday man is forced into a situation where he is told to kill a politician to save his kidnapped daughter.","$8,175,346",6.3,22 Nov 1995
"Journey of August King, The (1995)",,,,,
Mary Reilly (1996),Stephen Frears,"A housemaid falls in love with Dr. Henry Jekyll and his darkly mysterious counterpart, Mr. Edward Hyde.","$5,707,094",5.8,23 Feb 1996
Vampire in Brooklyn (1995),Wes Craven,A Caribbean vampire seduces a Brooklyn police officer who has no idea that she is half-vampire.,"$19,751,736",4.7,27 Oct 1995
Beautiful Girls (1996),Ted Demme,A piano player at a crossroads in his life returns home to his friends and their own problems with life and love.,"$10,597,759",7.1,09 Feb 1996
Broken Arrow (1996),John Woo,Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.,"$70,770,147",6.1,09 Feb 1996
In the Bleak Midwinter (1995),,,,,
"Hate (Haine, La) (1995)",,,,,
Shopping (1994),Paul W.S. Anderson,"You've run out of options, no school, no job. Steal a car, smash a shop with a heavy car and reap the proceeds! This movie is about underground England. The causes, the benefits, and the result of a life of 'crash and carry.'","$3,061",5.4,09 Feb 1996
Heidi Fleiss: Hollywood Madam (1995),Nick Broomfield,"A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her arrest for running a brothel but before her trial. Several months elapse before the interview, so the crew searches for anyone w...","$34,402",6.6,09 Feb 1996
City Hall (1996),Harold Becker,"The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.","$20,340,204",6.2,16 Feb 1996
Bottle Rocket (1996),Wes Anderson,Three friends plan to pull off a simple robbery and go on the run.,"$560,069",6.9,21 Feb 1996
Mr. Wrong (1996),Nick Castle,"A lonely single woman finds the seemingly-perfect man to date, but soon regrets it when his deranged, possessive other personality emerges and she cannot convince anyone else of his Jekyll-and-Hyde true nature.","$12,825,141",3.8,16 Feb 1996
Unforgettable (1996),John Dahl,A Seattle medical examiner uses an experimental memory transference drug to unravel the mystery surrounding his wife's brutal murder.,"$2,821,671",6.0,23 Feb 1996
Happy Gilmore (1996),Dennis Dugan,"After his grandmother's house is repossessed by the IRS, a bad tempered hockey player takes his talents to golf to earn the big bucks and get his grandmothers house back.","$39,041,354",7.0,16 Feb 1996
"Bridges of Madison County, The (1995)",,,,,
Nobody Loves Me (Keiner liebt mich) (1994),,,,,
Muppet Treasure Island (1996),Brian Henson,"The Muppets set sail in search of treasure, with Jim Hawkins and Long John Silver.","$34,327,391",6.9,16 Feb 1996
Catwalk (1995),Robert Leacock,"A camera follows model Christy Turlington through the spring fashion shows in Milan, Paris, and New York in 1994. She and others dash from one designer's unveilings to another. Extended footage looks at Versace and Armani in Milan...","$28,672",7.1,16 May 1996
Headless Body in Topless Bar (1995),James Bruce,"Late one night, in a seedy topless bar, a group of men watch a stripper dance over their malted beverages. But, one of them is an ex-con who's about to put the group on a collision course with death. Inspired by the events that sp...",N/A,4.8,16 Feb 1996
Braveheart (1995),Mel Gibson,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,"$75,609,945",8.3,24 May 1995
Taxi Driver (1976),Martin Scorsese,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","$28,262,574",8.2,09 Feb 1976
Rumble in the Bronx (1995),Stanley Tong,A young man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills.,"$32,392,047",6.8,23 Feb 1996
Before and After (1996),Barbet Schroeder,Two parents deal with the effects when their son is accused of murdering his girlfriend.,"$8,797,839",6.1,23 Feb 1996
Margaret's Museum (1995),Mort Ransen,"Margaret MacNiel, a girl living in a Cape Breton coal mining town, finds her life changing when she meets Neil Currie, a cheerful bagpipe-playing dishwasher. Unfortunately, neither of them are able to escape the industry around them.","$524,963",7.2,26 Jan 1996
Happiness Is in the Field (1995),Étienne Chatiliez,"Francis, the boss of a small plumbing supply company, is harassed by tax collectors, striking employees, and an impossible wife and daughter. His only joy is sharing lunch with his friend Gerard. Then a TV show called ""where are y...","$414,736",7.0,31 Jan 1997
Anne Frank Remembered (1995),Jon Blair,"Tells the story of the Frank family and paints a portrait of their brash and free-spirited daughter Anne, perhaps the world's most famous victim of the Holocaust.","$1,310,200",8.1,08 Jun 1995
"Young Poisoner's Handbook, The (1995)",,,,,
If Lucy Fell (1996),Eric Schaeffer,Two NYC roommates have a pact to jump off Brooklyn Bridge if they haven't found life partners before she's 30. That's less than a month away.,"$2,420,162",4.9,08 Mar 1996
"Steal Big, Steal Little (1995)",Andrew Davis,"Ruben and Robby are twin brothers, adopted by Mona, one of the wealthiest - and most eccentric - women in Santa Barbara. Ruben is devoted to Mona, but Robby is more devoted to her money. So when Mona leaves her fortune and estate ...","$3,150,170",4.7,29 Sep 1995
Race the Sun (1996),Charles T. Kanganis,"A bunch of high school misfits in Hawaii, introduced by their new teacher, attend a science fair in which they draw up inspiration to build their own solar car and win a trip to compete in the 1990 World Solar Challenge in Australia.","$1,945,552",5.4,22 Mar 1996
"Boys of St. Vincent, The (1993)",,,,,
Boomerang (1992),Reginald Hudlin,A successful executive and womanizer finds his lifestyle choices have turned back on him when his new female boss turns out to be an even bigger deviant than he is.,"$70,052,444",5.6,01 Jul 1992
Chungking Express (1994),Wong Kar-Wai,"Two melancholic Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents.","$600,200",7.9,08 Mar 1996
"Star Maker, The (Uomo delle stelle, L') (1995)",,,,,
Flirting With Disaster (1996),David O. Russell,"A young man, his wife, and his incompetent case worker travel across country to find his birth parents.","$14,702,438",6.7,12 Apr 1996
"NeverEnding Story III, The (1994)",,,,,
"Silence of the Palace, The (Saimt el Qusur) (1994)",,,,,
Jupiter's Wife (1994),,,,,
Pie in the Sky (1995),Bryan Gordon,A whimsical saga of a young man whose two life-consuming passions are unraveling traffic gridlock and an avant-garde dancer. A romantic comedy.,N/A,5.8,09 Feb 1996
Angela (1995),Rebecca Miller,Rebecca Miller's riveting drama examines how two sisters cope with their mother's mental illness.,N/A,6.3,02 May 2015
Frankie Starlight (1995),Michael Lindsay-Hogg,"A writer with dwarfism shares the story of his unconventional, though not altogether bad, upbringing as his mother struggled to raise him in the mid-20th century with help from a surrogate father.","$103,365",6.5,22 Nov 1995
Jade (1995),William Friedkin,"A bright assistant D.A. investigates a gruesome hatchet murder and hides a clue he found at the crime scene. Under professional threats and an attempt on his life, he goes on heartbroken because evidence point to the woman he stil...","$9,851,610",5.3,13 Oct 1995
Nueba Yol (1995),Ángel Muñiz,"The humble and hardworking Orodoto Balbuena finally gets an opportunity of realizing his lifelong dream of reaching New York and living the ""American Dream"", but soon finds out that things aren't as pretty as he thought.","$984,681",7.1,16 Aug 1995
Sonic Outlaws (1995),Craig Baldwin,"Within days after the release of Negativland's clever parody of U2 and Casey Kasem, recording industry giant Island Records descended upon the band with a battery of lawyers intent on erasing the piece from the history of rock mus...",N/A,7.4,14 Jul 1995
Down Periscope (1996),David S. Ward,"Lt. Cmdr. Tom Dodge is assigned as Captain to the USS Stingray, an old diesel driven submarine that has seen better days.","$25,785,603",6.2,01 Mar 1996
From the Journals of Jean Seberg (1995),Mark Rappaport,"Mark Rappaport's creative bio-pic about actress Jean Seberg is presented in a first-person, autobiographical format (with Seberg played by Mary Beth Hurt). He seamlessly interweaves cinema, politics, American society and culture, ...",N/A,7.1,01 Mar 1996
Man of the Year (1995),Dirk Shafer,"Mockumentary look at Playgirl Magazine centerfold and 1992 Man of the Year, Dirk Shafer, who kept it a secret from the magazine that he is gay. Most of the film is a fictionalized retelling of Dirk's decision to send a photograph ...","$209,935",6.0,15 Mar 1996
"Neon Bible, The (1995)",,,,,
Target (1995),Sandip Ray,A cynical woman (Champa) leads exploited workers in a revolt against a cruel landowner (Mohan Agashe) in India,N/A,8.1,28 Feb 1996
Up Close and Personal (1996),Steve Drake,N/A,N/A,N/A,N/A
"Birdcage, The (1996)",,,,,
Shadows (Cienie) (1988),,,,,
Gospa (1995),Jakov Sedlar,"In 1981 in Medjugorje (BA), a group of kids claim that Virgin Mary appeared to them on a hill. The local priest believes them and spreads the word. Religious tourism blossoms. The communist government is concerned and arrests the ...",N/A,4.0,13 Oct 1995
"Brothers McMullen, The (1995)",,,,,
Bad Boys (1995),Michael Bay,Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.,"$65,807,024",6.8,07 Apr 1995
"Amazing Panda Adventure, The (1995)",,,,,
"Basketball Diaries, The (1995)",,,,,
"Awfully Big Adventure, An (1995)",,,,,
Amateur (1994),Hal Hartley,"An amnesiac wakes up on an NYC alley. He meets Isabelle, an ex nun now erotic writer, at a diner and follows her home. She helps him find his identity. Then there's Sofia, the porn star.","$757,088",6.8,19 May 1995
Apollo 13 (1995),Ron Howard,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,"$174,692,658",7.7,30 Jun 1995
Rob Roy (1995),Michael Caton-Jones,"In 1713 Scotland, Rob Roy MacGregor is wronged by a nobleman and his nephew, becomes an outlaw in search of revenge while fleeing the Redcoats, and faces charges of being a Jacobite.","$31,596,911",6.9,14 Apr 1995
"Addiction, The (1995)",,,,,
Batman Forever (1995),Joel Schumacher,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.","$184,069,126",5.4,16 Jun 1995
Belle de jour (1967),Luis Buñuel,A frigid young housewife decides to spend her midweek afternoons as a prostitute.,"$4,063,348",7.6,10 Apr 1968
Beyond Rangoon (1995),John Boorman,An American tourist finds herself in the middle of a political uprising in Burma.,"$5,750,110",6.5,25 Aug 1995
Blue in the Face (1995),"Paul Auster, Wayne Wang, Harvey Wang","Brooklyn Cigar Store is a neighborhood hangout in Brooklyn with Auggie Wren/H.Keitel as center. Some people are interviewed about Brooklyn, spiced up with statistics on Brooklyn.","$1,268,636",6.6,13 Oct 1995
Canadian Bacon (1994),,,,,
Casper (1995),Brad Silberling,An afterlife therapist and his daughter meet a friendly young ghost when they move into a crumbling mansion in order to rid the premises of wicked spirits.,"$102,637,302",6.2,26 May 1995
Clockers (1995),Spike Lee,"Young drug pushers in the projects of Brooklyn live hard dangerous lives, trapped between their drug bosses and the detectives out to stop them.","$13,071,518",6.9,13 Sep 1995
Congo (1995),Frank Marshall,"When an expedition to the African Congo ends in disaster, a new team is assembled to find out what went wrong.","$81,022,101",5.3,09 Jun 1995
Crimson Tide (1995),Tony Scott,"On a U.S. nuclear missile sub, a young First Officer stages a mutiny to prevent his trigger-happy Captain from launching his missiles before confirming his orders to do so.","$91,387,195",7.4,12 May 1995
Crumb (1994),Terry Zwigoff,An intimate portrait of controversial cartoonist Robert Crumb and his traumatized family.,"$3,041,083",8.0,28 Apr 1995
Desperado (1995),Robert Rodriguez,Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.,"$25,405,445",7.1,25 Aug 1995
Devil in a Blue Dress (1995),Carl Franklin,"A Black war hero is hired to find a mysterious woman, and gets mixed up in a murderous political scandal in 1948 Los Angeles.","$16,140,822",6.8,29 Sep 1995
Die Hard: With a Vengeance (1995),John McTiernan,"John McClane is forced out of suspension to play a game of ""Simon Says"" by a terrorist who has planted bombs all around New York City and will detonate them if McClane doesn't do what he says.","$100,012,499",7.6,19 May 1995
"Doom Generation, The (1995)",,,,,
Feast of July (1995),Christopher Menaul,"After an abandoned young woman in late 19th Century England is taken in by a rural couple with three handsome sons, tragic consequences result.","$293,274",6.1,13 Oct 1995
First Knight (1995),Jerry Zucker,"Lancelot falls in love with Guinevere, who is due to be married to King Arthur. Meanwhile, a violent warlord tries to seize power from Arthur and his Knights of the Round Table.","$37,600,435",6.0,07 Jul 1995
Free Willy 2: The Adventure Home (1995),Dwight H. Little,Teenager Jesse becomes reunited with Willy two years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.,"$30,077,111",5.1,19 Jul 1995
Hackers (1995),Iain Softley,Teenage hackers discover a criminal conspiracy with plans to use a computer virus that will capsize five oil tankers.,"$7,563,728",6.2,15 Sep 1995
Jeffrey (1995),Christopher Ashley,A poignant romantic comedy about the quest for love and intimacy in the age of AIDS. A story of a thirtyish gay actor/waiter who decides to become celibate...the risk of AIDS has taken all the joy from sex.,"$3,487,767",6.8,18 Aug 1995
Johnny Mnemonic (1995),Robert Longo,"A data courier, literally carrying a data package inside his head, must deliver it before he dies from the burden or is killed by the Yakuza.","$19,075,720",5.6,26 May 1995
Judge Dredd (1995),Danny Cannon,"In a dystopian future, Joseph Dredd, the most famous Judge (a police officer with instant field judiciary powers), is convicted for a crime he did not commit and must face his murderous counterpart.","$34,693,481",5.6,30 Jun 1995
Jury Duty (1995),John Fortenberry,Jobless loser Tommy Collins is sequestered to be a juror in a serial killer trial. He does everything he can to prolong the trial and deliberations to take full advantage of the free lodging and food.,"$17,014,653",4.3,12 Apr 1995
Kids (1995),Larry Clark,"A day in the life of a group of teens as they travel around New York City skating, drinking, smoking and deflowering virgins.","$7,412,216",7.0,01 Sep 1995
Living in Oblivion (1995),Tom DiCillo,This ultimate tribute to all independent filmmakers takes place during one day on the set of a non-budget movie.,"$1,111,790",7.5,21 Jul 1995
Lord of Illusions (1995),Clive Barker,A private detective guards an illusionist's beautiful Wife.,"$13,294,422",6.0,25 Aug 1995
Love & Human Remains (1993),,,,,
Mad Love (1995),Antonia Bird,The wild and sexy story of two passionate young people who take to the road for the incredible adventure of their lives.,"$15,453,274",5.3,26 May 1995
